season,season_type,player_id,team,player_name,player_display_name,games,position,position_group,headshot_url,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_att,gwfg_distance_list,gwfg_made,gwfg_missed,gwfg_blocked
1999,REG,00-0006662,NYJ,,John Hall,16,K,SPEC,,27,33,6,0,48,0.818,0,3,17,7,0,0,0,1,0,5,0,0,31;37;34;33;42;45;39;32;37;43;44;33;26;36;33;30;28;31;46;47;33;37;48;23;30;31;35,43;43;29;45;47;49,,964,256,0,27,29,2,0,0.931,1,37,1,0,0
1999,REG,00-0006800,DET,,Jason Hanson,16,K,SPEC,,26,32,6,0,52,0.812,0,8,4,10,4,0,0,0,0,2,4,0,51;49;48;23;20;49;29;30;47;48;29;47;50;29;43;44;46;50;45;37;52;37;25;27;24;39,49;57;53;46;50;58,,1018,313,0,28,29,1,0,0.966,1,48,1,0,0
1999,REG,00-0007622,JAX,,Mike Hollis,16,K,SPEC,,31,38,6,1,50,0.816,0,12,8,10,1,0,0,1,1,4,0,0,41;32;50;42;36;40;31;42;27;41;32;44;21;20;36;24;43;21;27;24;34;28;28;45;32;25;32;49;23;41;27,49;41;49;48;34;28,48,1038,249,48,37,37,0,0,1,1,23,1,0,0
1999,REG,00-0007655,CHI,,Jaret Holmes,1,K,SPEC,,2,2,0,0,39,1,0,0,2,0,0,0,0,0,0,0,0,0,39;31,,,70,0,0,,0,,,,0,,,,
1999,REG,00-0007983,LV,,Michael Husted,13,K,SPEC,,20,31,11,0,49,0.645,2,3,7,8,0,0,0,0,4,4,2,1,41;36;37;42;47;47;19;25;32;25;49;34;47;33;44;33;30;18;41;23,47;48;61;53;32;32;37;44;51;32;45,,703,482,0,30,30,0,0,1,3,61;44;44,1,2,0
1999,REG,00-0008080,ARI,,Chris Jacke,16,K,SPEC,,19,27,7,1,49,0.704,0,5,10,4,0,0,0,0,1,3,3,0,31;25;32;31;36;44;38;43;44;24;35;35;49;24;38;39;20;31;23,32;53;42;53;54;44;47,34,642,325,34,26,26,0,0,1,1,31,1,0,0
1999,REG,00-0008231,CHI,,Jeff Jaeger,3,K,SPEC,,2,8,6,0,52,0.25,0,0,0,1,1,0,0,0,2,4,0,0,52;41,48;46;32;49;48;37,,93,260,0,7,7,0,0,1,0,,,,
1999,REG,00-0008593,PHI,,Norm Johnson,15,K,SPEC,,18,26,7,1,49,0.692,0,8,5,5,0,0,0,1,2,2,2,0,25;39;26;32;48;31;28;27;44;28;49;29;20;30;34;29;44;43,26;50;50;42;32;47;39,33,606,286,33,21,21,0,0,1,1,32,1,0,0
1999,REG,00-0009028,CAR,,John Kasay,13,K,SPEC,,22,25,3,0,52,0.88,1,8,6,5,2,0,0,0,0,1,2,0,52;48;21;43;43;42;19;21;30;23;31;51;38;28;33;22;24;44;30;24;20;37,53;52;47,,724,152,0,33,33,0,0,1,0,,,,
1999,REG,00-0010072,GB,,Ryan Longwell,16,K,SPEC,,25,30,2,3,50,0.833,0,8,8,8,1,0,0,0,1,1,0,0,45;24;28;35;34;42;49;38;43;50;46;37;26;38;31;23;33;45;31;23;22;40;26;22;46,45;30,50;28;44,877,75,122,38,38,0,0,1,1,28,0,0,1
1999,REG,00-0010373,MIA,,Olindo Mare,16,K,SPEC,,39,46,6,1,54,0.848,1,9,17,9,3,0,0,0,0,4,2,0,37;39;51;48;44;30;44;26;26;37;27;21;43;20;33;45;45;41;53;37;37;54;21;34;44;46;30;19;23;31;32;24;33;32;21;30;31;37;39,42;46;43;52;47;54,47,1365,284,47,27,27,0,0,1,1,31,1,0,0
1999,REG,00-0011859,DAL,,Eddie Murray,4,K,SPEC,,7,9,2,0,40,0.778,0,3,3,1,0,0,0,0,1,1,0,0,30;34;33;20;21;27;40,49;33,,205,82,0,10,10,0,0,1,0,,,,
1999,REG,00-0011970,LV,,Joe Nedney,3,K,SPEC,,5,7,2,0,52,0.714,0,2,2,0,1,0,0,0,0,1,1,0,26;52;25;38;33,52;44,,174,96,0,13,13,0,0,1,1,33,1,0,0
1999,REG,00-0012742,CIN,,Doug Pelfrey,16,K,SPEC,,18,27,8,1,50,0.667,1,9,6,1,1,0,0,1,5,2,0,0,33;38;40;36;27;26;37;32;29;50;34;19;29;29;29;24;28;28,48;38;31;33;41;32;39;25,20,568,287,20,27,27,0,0,1,0,,,,
1999,REG,00-0012875,SEA,,Todd Peterson,16,K,SPEC,,34,40,6,0,51,0.85,1,10,8,14,1,0,0,0,3,2,1,0,45;51;41;26;38;28;29;45;40;40;21;42;34;19;29;29;45;35;35;43;38;25;28;40;33;40;32;45;31;22;48;25;41;45,32;30;48;48;52;38,,1208,248,0,32,32,0,0,1,2,45;25,2,0,0
1999,REG,00-0013699,SF,,Wade Richey,16,K,SPEC,,21,23,1,1,52,0.913,1,7,7,5,1,0,0,0,0,1,0,0,42;33;39;42;43;38;34;40;22;31;26;19;20;52;22;35;47;23;37;29;25,49,39,699,49,39,30,31,1,0,0.968,1,35,1,0,0
1999,REG,00-0015784,BAL,,Matt Stover,15,K,SPEC,,27,30,2,1,50,0.9,4,8,6,7,2,0,0,0,2,0,0,0,45;28;44;38;26;44;46;50;37;28;44;23;25;50;46;31;33;21;27;19;36;24;48;19;30;19;19,38;37,51,900,75,51,31,31,0,0,1,3,50;50;19,3,0,0
1999,REG,00-0015791,KC,,Pete Stoyanovich,16,K,SPEC,,21,28,7,0,51,0.75,1,7,5,7,1,0,0,0,1,6,0,0,27;19;42;44;27;51;22;41;23;43;39;38;20;29;29;47;37;44;43;38;33,38;47;42;47;42;45;44,,736,305,0,45,45,0,0,1,3,44;38;44,2,1,0
1999,REG,00-0016795,TB,,Morris Unutoa,1,C,OL,,,0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,,,,
1999,REG,00-0016830,IND,,Mike Vanderjagt,16,K,SPEC,,34,38,2,2,53,0.895,2,10,11,10,1,0,0,0,1,0,1,0,35;35;42;41;31;18;27;22;43;30;33;27;47;34;29;37;40;35;45;29;34;22;37;44;48;53;28;31;43;41;19;21;27;24,36;55,45;37,1152,91,82,43,43,0,0,1,3,27;53;21,3,0,0
1999,REG,00-0016919,NE,A.Vinatieri,Adam Vinatieri,16,K,SPEC,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/imfj1hl4kob4jof8hcwa",26,33,7,0,51,0.788,1,14,5,5,1,0,0,0,2,4,1,0,33;21;23;26;38;19;41;22;21;41;39;34;28;22;27;41;23;28;28;26;23;43;46;38;25;51,42;48;32;56;44;33;44,,807,299,0,29,30,0,1,0.967,4,23;26;32;44,2,2,0
1999,REG,00-0017693,LA,,Jeff Wilkins,15,K,SPEC,,18,26,8,0,49,0.692,1,5,5,7,0,0,0,0,1,4,3,0,19;22;49;28;36;34;40;20;49;44;29;40;30;38;47;38;28;47,54;38;43;51;41;40;50;48,,638,365,0,61,61,0,0,1,0,,,,
1999,POST,00-0000313,MIN,,Gary Anderson,2,K,SPEC,,3,3,0,0,47,1,0,0,2,1,0,0,0,0,0,0,0,0,47;38;31,,,116,0,0,5,5,0,0,1,0,,,,
1999,POST,00-0002975,BUF,,Steve Christie,1,K,SPEC,,1,1,0,0,41,1,0,0,0,1,0,0,0,0,0,0,0,0,41,,,41,0,0,1,1,0,0,1,0,,,,
1999,POST,00-0003395,WAS,,Brett Conway,2,K,SPEC,,4,5,0,1,48,0.8,0,2,1,1,0,0,0,0,0,0,0,0,33;23;28;48,,31,132,0,31,4,4,0,0,1,0,,,,
1999,POST,00-0004147,TEN,,Al Del Greco,4,K,SPEC,,8,11,2,1,49,0.727,0,1,3,4,0,0,0,0,0,2,0,0,40;36;49;37;25;43;34;43,43;47,47,307,90,47,8,8,0,0,1,0,,,,
1999,POST,00-0006181,DAL,,Toby Gowin,1,P,SPEC,,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,,57,,0,57,0,,0,,,,0,,,,
1999,POST,00-0006223,TB,,Martin Gramatica,2,K,SPEC,,2,2,0,0,25,1,0,2,0,0,0,0,0,0,0,0,0,0,25;23,,,48,0,0,2,2,0,0,1,0,,,,
1999,POST,00-0006800,DET,,Jason Hanson,1,K,SPEC,,,0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,,,,
1999,POST,00-0007622,JAX,,Mike Hollis,2,K,SPEC,,2,3,1,0,45,0.667,0,1,0,1,0,0,0,0,1,0,0,0,45;28,39,,73,39,0,10,10,0,0,1,0,,,,
1999,POST,00-0010373,MIA,,Olindo Mare,2,K,SPEC,,2,2,0,0,50,1,0,0,1,0,1,0,0,0,0,0,0,0,32;50,,,82,0,0,3,3,0,0,1,0,,,,
1999,POST,00-0011859,DAL,,Eddie Murray,1,K,SPEC,,1,1,0,0,18,1,1,0,0,0,0,0,0,0,0,0,0,0,18,,,18,0,0,1,1,0,0,1,0,,,,
1999,POST,00-0012875,SEA,,Todd Peterson,1,K,SPEC,,1,1,0,0,50,1,0,0,0,0,1,0,0,0,0,0,0,0,50,,,50,0,0,2,2,0,0,1,0,,,,
1999,POST,00-0016830,IND,,Mike Vanderjagt,1,K,SPEC,,3,3,0,0,40,1,0,0,1,2,0,0,0,0,0,0,0,0,40;40;34,,,114,0,0,1,1,0,0,1,0,,,,
1999,POST,00-0017693,LA,,Jeff Wilkins,3,K,SPEC,,4,7,3,0,29,0.571,0,4,0,0,0,0,0,0,1,2,0,0,24;27;29;28,42;44;34,,108,120,0,9,9,0,0,1,0,,,,
1999,REG+POST,00-0000108,PHI,,David Akers,5,K,SPEC,,3,5,2,0,53,0.6,0,0,0,2,1,0,0,0,0,0,2,0,53;48;46,59;51,,147,110,0,6,6,0,0,1,1,59,0,1,0
1999,REG+POST,00-0000282,ATL,,Morten Andersen,16,K,SPEC,,15,21,5,1,49,0.714,1,5,5,4,0,0,0,0,3,2,0,0,41;35;36;44;19;25;39;24;28;32;28;24;41;49;38,35;39;49;33;47,50,503,203,50,34,34,0,0,1,1,44,1,0,0
1999,REG+POST,00-0000313,MIN,,Gary Anderson,18,K,SPEC,,22,33,8,3,47,0.667,0,6,11,5,0,0,0,1,1,4,2,0,36;36;34;22;26;40;23;26;34;26;33;23;31;40;38;38;34;42;44;47;38;31,30;50;47;49;20;46;45;52,26;42;37,742,339,105,51,51,0,0,1,2,23;38,2,0,0
