country,year,life_expectancy,gdp_per_capita,population
afg,1953,33.73,1122.0,8038596
afg,1954,34.43,1127.0,8150447
afg,1955,35.13,1131.0,8270581
afg,1956,35.82,1161.0,8399030
afg,1957,36.53,1141.0,8535807
afg,1958,37.23,1183.0,8680946
afg,1959,37.94,1194.0,8834445
afg,1960,38.65,1213.0,8996351
afg,1961,39.36,1199.0,9166764
afg,1962,40.07,1195.0,9345868
afg,1963,40.78,1192.0,9533954
afg,1964,41.51,1190.0,9731361
afg,1965,42.22,1190.0,9938414
afg,1966,42.94,1176.0,10152331
afg,1967,43.66,1181.0,10372630
afg,1968,44.37,1196.0,10604346
afg,1969,45.08,1187.0,10854428
afg,1970,45.78,1183.0,11126123
afg,1971,45.89,1100.0,11417825
afg,1972,45.89,1054.0,11721940
afg,1973,45.98,1146.0,12027822
afg,1974,46.09,1179.0,12321541
afg,1975,46.26,1211.0,12590286
afg,1976,46.46,1241.0,12840299
afg,1977,46.6,1128.0,13067538
afg,1978,45.02,1189.0,13237734
afg,1979,43.57,1165.0,13306695
afg,1980,43.26,1168.0,13248370
afg,1981,44.06,1295.0,13053954
afg,1982,43.75,1414.0,12749645
afg,1983,42.02,1467.0,12389269
afg,1984,39.77,1443.0,12047115
afg,1985,41.61,1397.0,11783050
afg,1986,42.58,1500.0,11601041
afg,1987,44.7,1242.0,11502761
afg,1988,46.97,1124.0,11540888
afg,1989,50.78,1098.0,11777609
afg,1990,51.61,1038.0,12249114
afg,1991,51.29,1032.0,12993657
afg,1992,51.42,950.0,13981231
afg,1993,51.35,818.0,15095099
afg,1994,50.71,732.0,16172719
afg,1995,51.07,881.0,17099541
afg,1996,51.4,904.0,17822884
afg,1997,51.13,930.0,18381605
afg,1998,50.12,956.0,18863999
afg,1999,51.54,982.0,19403676
afg,2000,51.63,972.0,20093756
afg,2001,51.69,871.0,20966463
afg,2002,52.43,1064.0,21979923
afg,2003,53.03,1099.0,23064851
afg,2004,53.5,1062.0,24118979
afg,2005,53.87,1136.0,25070798
afg,2006,54.15,1161.0,25893450
afg,2007,54.57,1285.0,26616792
afg,2008,55.21,1298.0,27294031
afg,2009,55.69,1531.0,28004331
afg,2010,56.2,1614.0,28803167
afg,2011,56.71,1661.0,29708599
afg,2012,57.23,1839.0,30696958
afg,2013,57.71,1814.0,31731688
afg,2014,57.83,1780.0,32758020
afg,2015,57.9,1748.0,33736494
afg,2016,58.02,1740.0,34656032
afg,2017,58.36,1798.0,35530081
afg,2018,58.69,1867.0,36373176
ago,1800,26.98,618.0,1567028
ago,1801,26.98,620.0,1567028
ago,1802,26.98,623.0,1567028
ago,1803,26.98,626.0,1567028
ago,1804,26.98,628.0,1567028
ago,1805,26.98,631.0,1567028
ago,1806,26.98,634.0,1567028
ago,1807,26.98,637.0,1567028
ago,1808,26.98,640.0,1567028
ago,1809,26.98,642.0,1567028
ago,1810,26.98,645.0,1567028
ago,1811,26.98,648.0,1567571
ago,1812,26.98,651.0,1568660
ago,1813,26.98,654.0,1570299
ago,1814,26.98,657.0,1572493
ago,1815,26.98,660.0,1575246
ago,1816,26.98,662.0,1578561
ago,1817,26.98,665.0,1582443
ago,1818,26.98,668.0,1586896
ago,1819,26.98,671.0,1591923
ago,1820,26.98,674.0,1597530
ago,1821,26.98,677.0,1603720
ago,1822,26.98,680.0,1610497
ago,1823,26.98,683.0,1617867
ago,1824,26.98,686.0,1625833
ago,1825,26.98,689.0,1634399
ago,1826,26.98,692.0,1643570
ago,1827,26.98,695.0,1653350
ago,1828,26.98,698.0,1663744
ago,1829,26.98,701.0,1674756
ago,1830,26.98,704.0,1686390
ago,1831,26.98,708.0,1698652
ago,1832,26.98,711.0,1711003
ago,1833,26.98,714.0,1723444
ago,1834,26.98,717.0,1735975
ago,1835,26.98,720.0,1748598
ago,1836,26.98,723.0,1761312
ago,1837,26.98,726.0,1774118
ago,1838,26.98,730.0,1787018
ago,1839,26.98,733.0,1800012
ago,1840,26.98,736.0,1813100
ago,1841,26.98,739.0,1826283
ago,1842,26.98,743.0,1839562
ago,1843,26.98,746.0,1852937
ago,1844,26.98,749.0,1866410
ago,1845,26.98,752.0,1879981
ago,1846,26.98,756.0,1893650
ago,1847,26.98,759.0,1907419
ago,1848,26.98,762.0,1921288
ago,1849,26.98,766.0,1935258
ago,1850,26.98,769.0,1949329
ago,1851,26.98,773.0,1966272
ago,1852,26.98,776.0,1983358
ago,1853,26.98,779.0,2000589
ago,1854,26.98,783.0,2017966
ago,1855,26.98,786.0,2035489
ago,1856,26.98,790.0,2053161
ago,1857,26.98,793.0,2070982
ago,1858,26.98,797.0,2088953
ago,1859,26.98,800.0,2107076
ago,1860,26.98,804.0,2125353
ago,1861,26.98,807.0,2143784
ago,1862,26.98,811.0,2162370
ago,1863,26.98,814.0,2181114
ago,1864,26.98,818.0,2200016
ago,1865,26.98,822.0,2219077
ago,1866,26.98,825.0,2238299
ago,1867,26.98,829.0,2257683
ago,1868,26.98,832.0,2277231
ago,1869,26.98,836.0,2296944
ago,1870,26.98,840.0,2316823
ago,1871,27.07,844.0,2336870
ago,1872,27.15,847.0,2357086
ago,1873,27.24,851.0,2377056
ago,1874,27.32,855.0,2397611
ago,1875,27.41,858.0,2418338
ago,1876,27.49,862.0,2439241
ago,1877,27.58,866.0,2459932
ago,1878,27.66,870.0,2481185
ago,1879,27.75,874.0,2502616
ago,1880,27.83,878.0,2524229
ago,1881,27.92,881.0,2545667
ago,1882,28.0,885.0,2567641
ago,1883,28.09,889.0,2589801
ago,1884,28.17,893.0,2611827
ago,1885,28.26,897.0,2634358
ago,1886,28.34,901.0,2657079
ago,1887,28.43,905.0,2679710
ago,1888,28.52,909.0,2702812
ago,1889,28.6,913.0,2726109
ago,1890,28.69,917.0,2749602
ago,1891,28.77,921.0,2773292
ago,1892,28.86,925.0,2797181
ago,1893,28.94,929.0,2821271
ago,1894,29.03,933.0,2845563
ago,1895,29.11,937.0,2870060
ago,1896,29.2,941.0,2894762
ago,1897,29.28,946.0,2919672
ago,1898,29.37,950.0,2944791
ago,1899,29.45,954.0,2970120
ago,1900,29.54,958.0,2995663
ago,1901,29.62,962.0,3021420
ago,1902,29.71,967.0,3047127
ago,1903,29.79,971.0,3073315
ago,1904,29.88,975.0,3099724
ago,1905,29.97,979.0,3126354
ago,1906,30.05,984.0,3153208
ago,1907,30.14,988.0,3179897
ago,1908,30.22,992.0,3207199
ago,1909,30.31,997.0,3234731
ago,1910,30.39,1001.0,3262493
ago,1911,30.48,1006.0,3290373
ago,1912,30.56,1010.0,3318601
ago,1913,30.65,1014.0,3347066
ago,1914,30.73,1045.0,3375770
ago,1915,30.82,1076.0,3404714
ago,1916,30.9,1108.0,3433900
ago,1917,30.99,1141.0,3463331
ago,1918,12.01,1174.0,3487015
ago,1919,31.16,1209.0,3512369
ago,1920,31.24,1245.0,3537908
ago,1921,31.33,1285.0,3563632
ago,1922,31.42,1326.0,3589544
ago,1923,31.5,1368.0,3615643
ago,1924,31.59,1412.0,3641933
ago,1925,31.67,1457.0,3668414
ago,1926,31.76,1503.0,3695087
ago,1927,31.84,1551.0,3721954
ago,1928,31.93,1600.0,3749017
ago,1929,32.01,1651.0,3776276
ago,1930,32.1,1704.0,3803733
ago,1931,32.18,1758.0,3831391
ago,1932,32.27,1813.0,3859249
ago,1933,32.35,1871.0,3887310
ago,1934,32.44,1930.0,3915574
ago,1935,32.52,1992.0,3944045
ago,1936,32.61,2055.0,3972722
ago,1937,32.69,2120.0,4001608
ago,1938,32.78,2187.0,4030704
ago,1939,32.87,2257.0,4060011
ago,1940,32.95,2328.0,4093865
ago,1941,33.31,2402.0,4132344
ago,1942,33.67,2478.0,4175527
ago,1943,34.03,2557.0,4219161
ago,1944,34.39,2638.0,4263251
ago,1945,34.75,2721.0,4307801
ago,1946,35.12,2807.0,4352818
ago,1947,35.49,2896.0,4398304
ago,1948,35.85,2988.0,4444266
ago,1949,36.23,3082.0,4490709
ago,1950,36.6,3180.0,4548023
ago,1951,36.94,3260.0,4659333
ago,1952,37.53,3342.0,4774561
ago,1953,38.12,3423.0,4890469
ago,1954,38.73,3288.0,5004763
ago,1955,39.33,3506.0,5116071
ago,1956,39.94,3395.0,5224003
ago,1957,40.55,3669.0,5329099
ago,1958,41.16,3809.0,5432717
ago,1959,41.77,3769.0,5536779
ago,1960,42.39,3861.0,5643182
ago,1961,43.01,4311.0,5753024
ago,1962,43.63,4130.0,5866061
ago,1963,44.26,4278.0,5980417
ago,1964,44.88,4687.0,6093321
ago,1965,45.52,4964.0,6203299
ago,1966,46.16,5174.0,6309770
ago,1967,46.8,5393.0,6414995
ago,1968,47.44,5231.0,6523791
ago,1969,48.09,5300.0,6642632
ago,1970,48.74,5549.0,6776381
ago,1971,48.97,5775.0,6927269
ago,1972,49.16,5672.0,7094834
ago,1973,49.39,6004.0,7277960
ago,1974,49.6,6058.0,7474338
ago,1975,49.54,5622.0,7682479
ago,1976,49.52,5202.0,7900997
ago,1977,49.59,5114.0,8130988
ago,1978,49.7,4719.0,8376147
ago,1979,49.79,4605.0,8641521
ago,1980,49.93,4591.0,8929900
ago,1981,49.98,4249.0,9244507
ago,1982,50.03,4107.0,9582156
ago,1983,50.06,4135.0,9931562
ago,1984,50.16,4244.0,10277321
ago,1985,50.26,4264.0,10609042
ago,1986,50.23,4286.0,10921037
ago,1987,50.0,4478.0,11218268
ago,1988,49.78,4622.0,11513968
ago,1989,50.16,4530.0,11827237
ago,1990,50.21,4394.0,12171441
ago,1991,50.79,4209.0,12553446
ago,1992,50.96,3794.0,12968345
ago,1993,49.7,2764.0,13403734
ago,1994,51.13,2770.0,13841301
ago,1995,51.96,2967.0,14268994
ago,1996,52.31,3206.0,14682284
ago,1997,52.69,3366.0,15088981
ago,1998,52.83,3499.0,15504318
ago,1999,52.92,3511.0,15949766
ago,2000,53.36,3509.0,16440924
ago,2001,53.64,3540.0,16983266
ago,2002,54.48,3184.0,17572649
ago,2003,55.07,3235.0,18203369
ago,2004,55.71,3461.0,18865716
ago,2005,56.45,3949.0,19552542
ago,2006,56.95,4601.0,20262399
ago,2007,57.84,5443.0,20997687
ago,2008,58.58,5978.0,21759420
ago,2009,59.28,5908.0,22549547
ago,2010,60.08,5895.0,23369131
ago,2011,60.9,5911.0,24218565
ago,2012,61.71,5999.0,25096150
ago,2013,62.49,6185.0,25998340
ago,2014,63.29,6260.0,26920466
ago,2015,64.0,6231.0,27859305
ago,2016,64.65,6025.0,28813463
ago,2017,64.93,5939.0,29784193
ago,2018,65.19,5846.0,30774205
arg,1800,33.2,1507.0,534000
arg,1801,33.2,1507.0,534000
arg,1802,33.2,1507.0,534000
arg,1803,33.2,1507.0,534000
arg,1804,33.2,1507.0,534000
arg,1805,33.2,1508.0,534000
arg,1806,33.2,1508.0,534000
arg,1807,33.2,1508.0,534000
arg,1808,33.2,1508.0,534000
arg,1809,33.2,1509.0,534000
arg,1810,33.2,1509.0,534000
arg,1811,33.2,1509.0,534620
arg,1812,33.2,1509.0,535875
arg,1813,33.2,1509.0,537781
arg,1814,33.2,1510.0,540353
arg,1815,33.2,1510.0,543608
arg,1816,33.2,1510.0,547562
arg,1817,33.2,1510.0,552232
arg,1818,33.2,1511.0,557637
arg,1819,33.2,1511.0,563793
arg,1820,33.2,1511.0,570719
arg,1821,33.2,1533.0,578434
arg,1822,33.2,1555.0,586958
arg,1823,33.2,1577.0,596309
arg,1824,33.2,1599.0,606508
arg,1825,33.2,1622.0,617575
arg,1826,33.2,1645.0,629533
arg,1827,33.2,1669.0,642402
arg,1828,33.2,1693.0,656204
arg,1829,33.2,1717.0,670964
arg,1830,33.2,1741.0,686703
arg,1831,33.2,1766.0,703446
arg,1832,33.2,1791.0,720597
arg,1833,33.2,1817.0,738166
arg,1834,33.2,1843.0,756163
arg,1835,33.2,1869.0,774600
arg,1836,33.2,1896.0,793486
arg,1837,33.2,1923.0,812832
arg,1838,33.2,1950.0,832650
arg,1839,33.2,1978.0,852951
arg,1840,33.2,2006.0,873747
arg,1841,33.2,2035.0,895073
arg,1842,33.2,2064.0,916943
arg,1843,33.2,2094.0,939369
arg,1844,33.2,2123.0,962367
arg,1845,33.2,2154.0,985950
arg,1846,33.2,2185.0,1010134
arg,1847,33.2,2216.0,1034934
arg,1848,33.2,2247.0,1060366
arg,1849,33.2,2279.0,1086445
arg,1850,33.2,2312.0,1113189
arg,1851,33.2,2345.0,1140633
arg,1852,33.2,2379.0,1168776
arg,1853,33.2,2412.0,1197636
arg,1854,33.2,2447.0,1227232
arg,1855,33.2,2482.0,1257582
arg,1856,33.2,2517.0,1288705
arg,1857,33.2,2553.0,1320621
